
2023/05/02 (13:00:06) | ===> btop++ v.1.2.13
2023/05/02 (13:00:06) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/02 (13:50:32) | ===> btop++ v.1.2.13
2023/05/02 (13:50:32) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/02 (14:16:14) | ===> btop++ v.1.2.13
2023/05/02 (14:16:14) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/02 (15:23:36) | ===> btop++ v.1.2.13
2023/05/02 (15:23:36) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/02 (16:55:40) | ===> btop++ v.1.2.13
2023/05/02 (16:55:40) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/03 (10:13:43) | ===> btop++ v.1.2.13
2023/05/03 (10:13:43) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/03 (10:37:11) | ===> btop++ v.1.2.13
2023/05/03 (10:37:11) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/03 (11:27:56) | ===> btop++ v.1.2.13
2023/05/03 (11:27:56) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/03 (12:17:04) | ===> btop++ v.1.2.13
2023/05/03 (12:17:04) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/03 (12:18:06) | ===> btop++ v.1.2.13
2023/05/03 (12:18:06) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/03 (14:22:53) | ===> btop++ v.1.2.13
2023/05/03 (14:22:53) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2023/05/03 (14:50:34) | INFO: Logger set to INFO
2023/05/03 (14:51:15) | INFO: Quitting! Runtime: 00:28:22

2023/05/03 (14:51:16) | ===> btop++ v.1.2.13
2023/05/03 (14:51:16) | INFO: Logger set to INFO
2023/05/03 (14:51:16) | INFO: Running on /dev/pts/2
2023/05/03 (14:51:16) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/03 (16:18:25) | ===> btop++ v.1.2.13
2023/05/03 (16:18:25) | INFO: Logger set to INFO
2023/05/03 (16:18:25) | INFO: Running on /dev/pts/2
2023/05/03 (16:18:25) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2023/05/03 (17:00:59) | INFO: Quitting! Runtime: 00:42:34

2023/05/03 (17:01:15) | ===> btop++ v.1.2.13
2023/05/03 (17:01:15) | INFO: Logger set to INFO
2023/05/03 (17:01:15) | INFO: Running on /dev/pts/0
2023/05/03 (17:01:15) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2023/05/04 (08:45:37) | INFO: Quitting! Runtime: 15:44:22

2023/05/04 (08:46:37) | ===> btop++ v.1.2.13
2023/05/04 (08:46:37) | INFO: Logger set to INFO
2023/05/04 (08:46:37) | INFO: Running on /dev/pts/2
2023/05/04 (08:46:37) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2023/05/04 (09:10:56) | INFO: Quitting! Runtime: 00:24:19

2023/05/04 (09:12:13) | ===> btop++ v.1.2.13
2023/05/04 (09:12:13) | INFO: Logger set to INFO
2023/05/04 (09:12:13) | INFO: Running on /dev/pts/2
2023/05/04 (09:12:13) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2023/05/04 (14:52:52) | INFO: Quitting! Runtime: 05:40:39

2023/05/04 (14:53:10) | ===> btop++ v.1.2.13
2023/05/04 (14:53:10) | INFO: Logger set to INFO
2023/05/04 (14:53:10) | INFO: Running on /dev/pts/2
2023/05/05 (09:25:45) | INFO: Quitting! Runtime: 18:32:35

2023/05/05 (09:27:05) | ===> btop++ v.1.2.13
2023/05/05 (09:27:05) | INFO: Logger set to INFO
2023/05/05 (09:27:05) | INFO: Running on /dev/pts/0
2023/05/05 (10:01:01) | INFO: Quitting! Runtime: 00:33:56

2023/05/05 (10:13:14) | ===> btop++ v.1.2.13
2023/05/05 (10:13:14) | INFO: Logger set to INFO
2023/05/05 (10:13:14) | INFO: Running on /dev/pts/2
2023/05/05 (10:39:16) | INFO: Quitting! Runtime: 00:26:02

2023/05/05 (10:40:48) | ===> btop++ v.1.2.13
2023/05/05 (10:40:48) | INFO: Logger set to INFO
2023/05/05 (10:40:48) | INFO: Running on /dev/pts/2
2023/05/05 (10:42:36) | INFO: Quitting! Runtime: 00:01:48

2023/05/05 (10:46:35) | ===> btop++ v.1.2.13
2023/05/05 (10:46:35) | INFO: Logger set to INFO
2023/05/05 (10:46:35) | INFO: Running on /dev/pts/1
2023/05/05 (10:57:52) | INFO: Quitting! Runtime: 00:11:17

2023/05/05 (11:08:40) | ===> btop++ v.1.2.13
2023/05/05 (11:08:40) | INFO: Logger set to INFO
2023/05/05 (11:08:40) | INFO: Running on /dev/pts/2
2023/05/05 (15:13:37) | INFO: Quitting! Runtime: 04:04:57

2023/05/05 (15:19:51) | ===> btop++ v.1.2.13
2023/05/05 (15:19:51) | INFO: Logger set to INFO
2023/05/05 (15:19:51) | INFO: Running on /dev/pts/2
2023/05/05 (17:12:23) | INFO: Quitting! Runtime: 01:52:32

2023/05/05 (17:12:53) | ===> btop++ v.1.2.13
2023/05/05 (17:12:53) | INFO: Logger set to INFO
2023/05/05 (17:12:53) | INFO: Running on /dev/pts/2
2023/05/06 (07:53:45) | INFO: Quitting! Runtime: 14:40:52

2023/05/06 (08:28:52) | ===> btop++ v.1.2.13
2023/05/06 (08:28:52) | INFO: Logger set to INFO
2023/05/06 (08:28:52) | INFO: Running on /dev/pts/2
2023/05/06 (08:36:14) | INFO: Quitting! Runtime: 00:07:22

2023/05/06 (08:43:37) | ===> btop++ v.1.2.13
